Agriculture,The mining industry,Manufacturing industry,Power,The construction industry,The wholesale and retail industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive
,,600702,,,,,,,,,,,,,,,
,,600703,,,,,,,,,,,,,,,
,,600707,,,,,,,,,,,,,,,
,,600710,,,,,,,,,,,,,,,
,,600715,,,,,,,,,,,,,,,
,,600720,,,,,,,,,,,,,,,
,,600721,,,,,,,,,,,,,,,
,,600722,,,,,,,,,,,,,,,
,,600725,,,,,,,,,,,,,,,
,,600727,,,,,,,,,,,,,,,
,,600731,,,,,,,,,,,,,,,
,,600735,,,,,,,,,,,,,,,
,,600737,,,,,,,,,,,,,,,
,,600740,,,,,,,,,,,,,,,
,,600741,,,,,,,,,,,,,,,
,,600742,,,,,,,,,,,,,,,
,,600746,,,,,,,,,,,,,,,
,,600750,,,,,,,,,,,,,,,
,,600760,,,,,,,,,,,,,,,
,,600761,,,,,,,,,,,,,,,
,,600765,,,,,,,,,,,,,,,
,,600768,,,,,,,,,,,,,,,
,,600769,,,,,,,,,,,,,,,
,,600771,,,,,,,,,,,,,,,
,,600775,,,,,,,,,,,,,,,
,,600776,,,,,,,,,,,,,,,
,,600779,,,,,,,,,,,,,,,
,,600781,,,,,,,,,,,,,,,
,,600782,,,,,,,,,,,,,,,
,,600789,,,,,,,,,,,,,,,
,,600792,,,,,,,,,,,,,,,
,,600793,,,,,,,,,,,,,,,
,,600796,,,,,,,,,,,,,,,
,,600800,,,,,,,,,,,,,,,
,,600801,,,,,,,,,,,,,,,
,,600802,,,,,,,,,,,,,,,
,,600803,,,,,,,,,,,,,,,
,,600806,,,,,,,,,,,,,,,
,,600808,,,,,,,,,,,,,,,
,,600809,,,,,,,,,,,,,,,
,,600810,,,,,,,,,,,,,,,
,,600812,,,,,,,,,,,,,,,
,,600815,,,,,,,,,,,,,,,
,,600818,,,,,,,,,,,,,,,
,,600819,,,,,,,,,,,,,,,
,,600829,,,,,,,,,,,,,,,
,,600835,,,,,,,,,,,,,,,
,,600836,,,,,,,,,,,,,,,
,,600839,,,,,,,,,,,,,,,
,,600841,,,,,,,,,,,,,,,
,,600843,,,,,,,,,,,,,,,
,,600844,,,,,,,,,,,,,,,
,,600847,,,,,,,,,,,,,,,
,,600848,,,,,,,,,,,,,,,
,,600851,,,,,,,,,,,,,,,
,,600854,,,,,,,,,,,,,,,
,,600855,,,,,,,,,,,,,,,
,,600860,,,,,,,,,,,,,,,
,,600866,,,,,,,,,,,,,,,
