date,600079.ss,600080.ss,600081.ss,600083.ss,600084.ss,600085.ss,600086.ss,600089.ss,600090.ss,600091.ss,600093.ss,600095.ss,600096.ss,600099.ss,600100.ss,600103.ss,600104.ss,600105.ss,600107.ss,600110.ss,600111.ss,600112.ss,600114.ss,600117.ss,600118.ss,600126.ss,600127.ss,600129.ss,600130.ss,600132.ss,600135.ss,600137.ss,600141.ss,600143.ss,600145.ss,600146.ss,600148.ss,600150.ss,600151.ss,600152.ss
2015-4-3,-0.026032824,0.07083016,0.017281644,0,0.024623803,0.032854985,0,-0.011692308,0,0.005284016,0.100246002,-0.015467904,0.003921569,-0.00243309,0.014854427,0.00621118,0.026212833,0.001647446,0,0.020656136,0.004284348,-0.02029361,0.003154604,0.056923077,0.021270343,0.099630996,0.032171582,0,0.012820513,0.010548523,0.028554815,-0.011787072,0,0.006528836,0.044925125,0.031067087,0.026413537,0.037681798,0.025222552,0.039473684
2015-4-2,-0.029920395,-0.001520913,0.041342412,0,0.011065007,0.001512859,0,0.025236593,0,0.010680908,0.03566879,-0.005384615,0.019320453,0.04757859,-0.007079646,0.014705882,-0.010452962,0.016750419,0.043609023,0.001216545,-0.000358651,0.001730104,0.045629246,0.025236593,0.002882688,0.100135318,0,0,0.015625,-0.005455308,0.012650469,0.038294512,0.004376368,0.006571742,0.022108844,0.073984526,0.029749256,0.00022041,0.002230483,0.018556701
2015-4-1,0.015611932,0.012317167,0.009823183,0,0,0.01302682,0,0.099930604,0,0,0.013557134,0.015625,0.00738255,0.007705479,0.032906764,0.002105263,0.039018504,0.013582343,0.033411033,0.016069221,0.030905091,0.033065237,-0.010337509,0.006349206,0.001443569,0.099702381,0.014965986,0,0.036437247,0.01924722,0.009118356,0.013605442,0.007162534,0.066588785,0.005128205,0.022749753,0.00042517,0.007774323,0.040216551,0.018907563
2015-3-31,0.012990681,0.0392,-0.024904215,0,-0.002758621,-0.004956157,0,-0.027665317,0,0.012162162,0.005191434,0.017488076,0.009485095,0.027264732,0.001831502,-0.026639344,-0.02087436,-0.045380875,-0.015302219,-0.001234568,-0.003300588,0.005390836,0.000544462,-0.017160686,0.003476145,0.099836334,-0.014745308,0,0.00270636,0.004295533,-0.00843833,-0.029891304,-0.010899183,-0.017221584,-0.013490725,0,-0.015899582,-0.017245143,0.014913658,0.020364416
2015-3-30,0.028164925,0.015434606,-0.018335684,0,0.028368794,0.001909855,0,0.059328091,0,-0.048843188,-0.014705882,0.007205765,-0.032131148,-0.002631579,0.012987013,0.006185567,0.028768233,0.005704971,0.025098039,0.011235955,0.017917218,-0.020677519,-0.015541317,0.023961661,0.031679702,0,-0.0171278,0,0,-0.015228426,0.007285462,0.010989011,0.028587444,0.015151515,-0.049679487,-0.042613636,0.022678648,0.027590848,0.011914218,-0.001070664
2015-3-27,0.000581058,-0.008856683,0.002828854,0,-0.002828854,0,0,0.039375929,0,-0.029925187,0.001921845,-0.033281734,-0.02804334,0.039197812,0.010625,0.006224066,-0.004035513,0.013212221,0.001571092,0.00125,0.005630693,-0.013026487,0.03093971,0.006430868,-0.01732745,0,0.022911051,0,0.024965326,-0.002952341,0.006724113,-0.010485437,0,0.020214031,0.021276596,0.008595989,-0.012674271,-0.040464916,-0.007880221,0
2015-3-26,-0.019093759,0.028145695,-0.009341429,0,0.047407407,-0.030011115,0,0.006731488,0,0.048366013,-0.084994138,-0.032934132,0.041832669,-0.004537205,-0.034399517,0.021186441,-0.000403388,-0.013843648,-0.019260401,-0.014778325,0.01215618,-0.067233698,0.006673584,-0.014263074,-0.008444914,0,0.030555556,0,-0.021709634,-0.010020877,0.01488791,0.041245451,0.019428571,-0.044318182,-0.027070064,0.008184882,-0.01292744,0.099905303,0.008744038,0.035476718
2015-3-25,-0.046985334,-0.021862348,0.10020555,0,0.028963415,0.025845686,0,0.014415781,0,0.049382716,0.099935525,-0.013293944,0.015509103,0,-0.016033254,-0.028806584,-0.028224226,0.000814996,0.012480499,0.001233046,-0.019370312,-0.012004802,-0.028632809,-0.030721966,-0.014068594,0,-0.012345679,0,0.009589041,0.043572985,0.046074267,0.046994073,0.004592423,0.018518519,0.017828201,-0.036194896,0.049912434,0.070179883,-0.016419077,-0.003314917
2015-3-24,0.095833333,-0.019062748,0.06630137,0,-0.028148148,0.075633688,0,-0.018615041,0,0.008298755,-0.030018762,0.0312262,-0.020475561,-0.026501767,0.022465088,0.008298755,0.001963865,0.028499581,-0.018376723,-0.014580802,-0.009959664,0.099911972,0.004340425,0.051696284,0.031694485,0,-0.0135318,0,-0.030544489,-0.017971759,-0.027146509,-0.017879418,-0.02627166,0.009345794,-0.040435459,-0.020009095,-0.032613299,0.011532547,-0.015396459,-0.02792696
2015-3-23,0.022208701,0.01614205,0.019553073,0,0.005961252,0.014516798,0,0.019741838,0,0.04934688,0.049212598,0.007674597,0.022972973,0.043317972,0.047043865,0.038793103,0.030352084,0.036490009,0.055780113,0.053777209,0.01421478,0.037916857,-0.019680591,0.014754098,0.008061873,0,0,0,0.037190083,0.014322917,0.033942349,0.002919099,-0.004451864,0.030084236,0.050653595,0.009178522,0.005536627,0.005929363,0.022029898,0
