date,600600.ss,600601.ss,600602.ss,600608.ss,600609.ss,600610.ss,600612.ss,600613.ss,600614.ss,600615.ss,600616.ss,600618.ss,600619.ss,600623.ss,600629.ss,600630.ss,600634.ss,600636.ss,600651.ss,600654.ss,600660.ss,600664.ss,600666.ss,600667.ss,600668.ss,600671.ss,600673.ss,600678.ss,600679.ss,600680.ss,600685.ss,600686.ss,600687.ss,600688.ss,600689.ss,600690.ss,600691.ss,600695.ss,600698.ss,600699.ss,600702.ss,600703.ss,600707.ss,600710.ss,600715.ss,600720.ss,600721.ss,600722.ss,600725.ss,600727.ss
2015-3-16,0.018863241,0.09939759,0.016528926,0.029345372,0.062880325,0.037438424,0.011176158,0.052799272,0.036652079,0.005067568,0.002597403,0.017809439,0.022009569,0,0.018357045,0.005787781,0.03228022,0.011009373,0.011711712,0,0.005355158,0.014814815,0,0,0.042912874,0.034444444,0.017879487,0.024950755,0,0.031788793,0.014937317,0.005997819,0.0428,0.022088353,0.030258303,0.018421053,0.009398496,0.02244389,0.023564065,0.041429114,0.007345226,0.017155506,0.006843456,0.037735849,-0.012999071,0.017191977,0.023300971,0.044481054,0,0.035661218
2015-3-13,0.015372984,0.013740458,0.003554502,0.006818182,0.060215054,0.049638056,0.023978202,0.013376384,0.009387079,-0.011135857,0.029411765,-0.003549246,-0.007597341,0,0.003684938,0.028439153,-0.003422313,0.000612313,-0.007155635,0,0,0.006389776,0,0,-0.00388601,0.015801354,-0.009767703,0.080141844,0,0.011995638,0.008337816,0.0234375,0.004823151,0.004032258,-0.002209131,0.020590868,0.007575758,0.016476553,-0.008759124,0.001141553,-0.006774362,-0.003309432,0.020069808,0.007604563,-0.020909091,-0.003805899,0.017786561,-0.006546645,0,0.00748503
2015-3-12,-0.002513826,0.031496063,-0.016317016,-0.004524887,0.010869565,-0.025201613,-0.001088732,-0.028238458,-0.008757526,0.077384523,0.022789426,-0.004416961,0.023323615,0,0.047779923,0.012048193,0.017409471,0.027672832,0.001792115,0,0.015635205,-0.00529661,0.015354442,0,-0.026481715,-0.012263099,0.017390907,-0.030261348,0,-0.034228541,-0.008797654,-0.020765027,-0.041602465,-0.006012024,-0.015942029,0.01407172,0.03125,-0.01375,0.001461988,-0.003790751,-0.04764268,-0.025268817,-0.003478261,0.003816794,0.002734731,0.023369036,-0.003937008,-0.025518341,0,-0.002985075
2015-3-11,-0.005251313,-0.01244168,-0.003484321,-0.010078387,-0.027484144,-0.003015075,-0.006489995,0.095776031,0.009392265,0.003612282,-0.016143498,-0.011353712,0.026946108,0,0.003389831,-0.015161503,-0.034946237,-0.016089398,0.040074557,0,-0.001357522,-0.035750766,-0.052112827,0,0.033224756,-0.008291874,-0.006785759,0.029016277,0,-0.012480499,0.003209414,-0.015599785,0.1,-0.025390625,0.096108022,0.099850225,-0.001949318,-0.011124845,-0.018651363,-0.001514005,0.048932847,0.002695418,0.015004413,-0.018726592,-0.024455313,0.002929687,0.031472081,0.045,0,-0.010339734
2015-3-10,-0.002245509,0.048939641,0.031137725,0.005630631,0.004246285,-0.024509804,0.017331499,0.005928854,0.038439472,0.005447942,-0.004464286,0.017777778,0.020366599,0,0.002427184,0.06906272,0.036933798,0.020846553,-0.007400555,0,-0.002708396,-0.007099391,-0.012059486,0,0.003267974,0.010614525,0.037772227,0.006410256,0,0.01531151,-0.016052632,0.076433121,0.1002331,0.003921569,-0.01177394,0.017784553,0.032193159,0.006218905,0.037202381,-0.009373828,-0.004147227,0.028840821,0.018884892,0.003759398,0.048484848,0.00589391,0.005102041,0.008403361,0,0.013473054
2015-3-9,-0.000498753,0.004918033,0.018292683,-0.02310231,0.012903226,0.007905138,-0.01517204,0.077168707,0.046846847,-0.003017502,0.011743451,0.006261181,0.005117707,0,-0.004349928,0.004957507,-0.011026878,0.001899086,0.034449761,0,0.021438444,-0.017928287,0.016501887,0,0.026156942,0.009019166,0,-0.02364395,0,-0.023207839,0.020956475,0.005824112,0.1,0.032388664,-0.016216216,0.016528926,-0.004008016,0.007518797,0.033846154,0.015226494,0.017405063,0.015774648,0.00270514,-0.01663586,0.049926579,0.014955135,0.008230453,0.003372681,0,0.026113671
2015-3-6,-0.003974168,0.004942339,-0.017964072,-0.069600819,-0.043209877,0.033707865,0.008194482,-0.040837162,-0.03812825,-0.036627907,0.016528926,0.04193849,-0.001022495,0,-0.029094322,0,-0.034597472,0.023978716,0,0,-0.020988483,0.010060362,-0.020775721,0,-0.015191546,-0.023127753,0.030343135,0.004189944,0,-0.099814299,-0.012732095,-0.053472988,0,-0.048169557,0.056280587,-0.023701462,0.022540984,-0.024449878,0.004636785,-0.059097421,-0.00524659,-0.038982133,-0.011586453,-0.005514706,0.0215,0,0.001029866,0.062724014,0,-0.025449102
2015-3-5,-0.012993381,-0.031897927,0.003605769,0.100225225,0.099547511,0.050429185,-0.000273075,0.004615385,-0.002880184,-0.005780347,-0.004570384,-0.001860465,-0.018072289,0,-0.000937647,0.006414825,0.040138408,-0.015943843,-0.013220019,0,-0.007392157,0.001007049,0.071746845,0,0.020215633,-0.007650273,0.012692031,-0.000697837,0,0.090080972,-0.015408723,0.050984936,0,0.011695906,0.039864292,-0.023152709,0,0.039390089,0.009360374,0.015272727,0.004214963,0.011500548,0.027472527,0.024482109,0.011122346,-0.016666667,0.011458333,0.012704174,0,0.003003003
2015-3-4,0.013164431,-0.001592357,0.037406484,0.100371747,0.004545455,0.019693654,0.002738226,0.023622047,0.014018692,0.001737116,0.033050047,0.008442777,0.002012072,0,0.004237288,0.024835646,0.040316775,0.034983803,0.049554014,0,0.028333911,0.038702929,0.010499951,0,0.100074129,0.046312178,-0.004654318,0.041424419,0,0.019082001,0.015649867,0.009356725,0,0.064315353,-0.010075567,0.009950249,0,0.015483871,-0.001557632,0.049217856,0.00264131,0.00440044,-0.006369427,0.015296367,0.018013381,0.006910168,0.013727561,0.016605166,0,0.043887147
2015-3-3,0.002989537,-0.009463722,-0.026699029,-0.025362319,0.002277904,0.049368542,-0.007338951,0.00740349,-0.002331002,0.041616405,0.013397129,-0.03963964,-0.019723866,0,0.051485149,-0.015107914,0.034251675,-0.031330165,-0.027000964,0,-0.032753862,-0.043043043,-0.034283177,0,-0.013888889,-0.005685048,-0.013770675,0.099920064,0,-0.019716886,-0.007894737,-0.039865244,0,-0.008230453,0.062444246,-0.021421616,-0.029821074,-0.013994911,0.040518639,-0.015031943,-0.02523172,-0.020474138,-0.015232975,-0.020599251,0,-0.025024062,-0.006295908,-0.023423423,0,-0.022970904
